title,description,country,sectors,link,finance
STOKR,STOKR is a digital market place that allows innovative small and medium ventures to raise capital from investors by issuing tokenised digital securities (tokens).,Luxembourg [Luxembourg] Germany [HAMBURG] Italy [Lombardia],"Industry for SMEs & Mid-Caps / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-11930.html,60% financed
Trauma Simulator,"The Virtual Reality Emergency Medicine Training Simulator helps medical students, residents, healthcare professionals, physicians learn and revive emergency medical skills.",Latvia [Rīga],"Research, Development & Innovation / Human Capital, Education & Training",https://ec.europa.eu/eipp/desktop/en/projects/project-11929.html,7% financed
Ellio,Ellio is an E-bike that combines car technology with bicycle craftsmanship to create the ultimate alternative for car drivers. Ellio’s unique two wheel drive system delivers unprecedented safety.,Belgium [Prov. Vlaams-Brabant],Vehicles and Transport Systems / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-11928.html,20% financed
BLUETENTACLES,Bluetentacles solution (BTS) is a complete and advanced plug&play solution for the revamping of existing irrigation systems based on IoT and Ai.,Italy [Provincia Autonoma di Bolzano/Bozen] Italy [Provincia Autonoma di Trento],"Agriculture and rural development, forestry and bio-economy / Climate Change",https://ec.europa.eu/eipp/desktop/en/projects/project-11925.html,35% financed
4D Travel,"Nimest is a platform that transforms your smartphone or AR
glasses into a time machine and allows you to meet some of the most interesting people in the world’s history.",France [Centre-Val de Loire] Portugal France,Tourism / Cultural & Creative Industries,https://ec.europa.eu/eipp/desktop/en/projects/project-11923.html,1% financed
Makers Unite BV,"We are a creative agency for social inclusion of refugees. With design, textile development and production we make newcomers belong through collaborative making of products with a story that matters.",Netherlands [Noord-Holland] Italy Greece,Cultural & Creative Industries / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-11921.html,25% financed
Smart speech,"We’re building an automated articulation assessment for children’s speech development, a speech version of the height and weight chart that parents already use for monitoring childhood development.",Ireland [Dublin],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-11919.html,5% financed
Microfinancing and Credit Scoring Platform,Improving the lives of the unbanked or underbanked by providing them with digital access to essential services on a credit basis,Ireland [Dublin],"Social Infrastructure, Social and Solidarity Economy / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-11916.html,5% financed
Salesbeat,"Salesbeat is a marketplace that uses matching algorithms to connect fast moving consumer goods brands with freelancers, suppliers, service providers and manufacturers.",United Kingdom [Outer London] Sweden [Stockholms län],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-11912.html,0% financed
Innovation for Rehabilitation Experience,"Virtual reality games specialized in Physiotherapy and Rehabilitation as well as in Wellness, providing a Personalized Healthcare system.",Germany [BADEN-WÜRTTEMBERG],"Health / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-11909.html,20% financed
